"terrain_ruggedness_index","sws_mean","o2_mean","si_mean","thetao_mean"
100,0.3,290,10,0
130,0.2,240,10,4
130,0.2,240,10,4
10,0,260,10,10
10,0,260,10,8
10,0,270,10,8
10,0,260,10,10
10,0,250,10,10
10,0,250,10,10
20,0,250,10,10
10,0,250,10,10
30,0,270,0,10
10,0,260,10,10
20,0,260,10,10
10,0,260,10,10
0,0,260,10,10
20,0,260,10,10
20,0,260,10,10
10,0,260,10,10
70,0.2,260,10,8
70,0.2,260,10,8
50,0.1,260,10,8
50,0.1,260,10,8
50,0.1,260,10,8
50,0.1,260,10,8
170,0,240,20,4
170,0,240,20,4
170,0,240,20,4
170,0,240,20,4
170,0,240,20,4
170,0,240,20,4
170,0,240,20,4
170,0,240,20,4
170,0,240,20,4
170,0,240,20,4
170,0,240,20,4
170,0,240,20,4
170,0,240,20,4
230,0,250,20,4
230,0,250,20,4
230,0,250,20,4
230,0,250,20,4
230,0,250,20,4
230,0,250,20,4
230,0,250,20,4
40,0,290,10,4
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,290,10,4
0,0,290,10,4
0,0,290,10,4
0,0,290,10,4
0,0,300,10,4
0,0,290,10,4
40,0,310,10,4
0,0,290,10,2
0,0,290,10,4
0,0,290,10,4
10,0.1,290,10,4
10,0.1,300,10,2
10,0.1,300,10,2
0,0,290,10,2
10,0,290,10,2
10,0,300,10,2
0,0,290,10,2
0,0,280,10,6
20,0,280,10,6
10,0,290,10,4
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,290,10,4
0,0,290,10,4
0,0,290,10,4
0,0,290,10,2
20,0.1,290,10,2
20,0.1,290,10,2
20,0.1,290,10,2
10,0,290,10,4
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
10,0,290,10,6
10,0,290,10,6
0,0,280,10,4
10,0,290,10,4
