"","x","y"
"950231",-8.47500028741378,60.3749989761052
"738028",-13.6250004620664,65.4249988904626
"685546",-12.7250004315446,66.674998869264
"186720",35.9750012200249,78.5749986674528
"714751",-22.4750007621976,65.9749988811352
"1143304",-14.8250005027622,55.7749990541162
"618424",-8.82500029928337,68.2749988421297
"1653848",-2.62500008902197,43.6249992601671
"601465",-16.7750005688928,68.6749988353461
"681341",-12.9750004400229,66.7749988675681
"491399",44.9250015235474,71.324998790405
"775924",-8.82500029928337,64.5249989057256
"1162300",-10.0250003399791,55.3249990617477
"1687684",9.17500031115296,42.8249992737342
"950215",-9.27500031454429,60.3749989761052
"851562",-6.92500023484843,62.7249989362517
"1040292",-20.4250006926757,58.2249990125668
"1754754",2.67500009071762,41.2249993008685
"1103425",-13.7750004671534,56.7249990380052
"1544611",-4.47500015176126,46.2249992160739
"624691",-10.47500035524,68.1249988446735
"597426",-8.72500029589207,68.7749988336502
"605811",-9.47500032132691,68.574998837042
"1321819",-14.0750004773273,51.5249991261916
"948168",-6.62500022467449,60.4249989752572
"819894",-15.3250005197187,63.4749989235325
"1195872",-11.4250003874575,54.5249990753148
"258027",31.3250010623288,76.874998696283
"612108",-9.62500032641388,68.4249988395858
"704457",-12.1750004128924,66.2249988768955
"597420",-9.025000306066,68.7749988336502
"836528",-23.6250008011977,63.0749989303161
"597427",-8.67500029419641,68.7749988336502
"1651990",9.47500032132691,43.6749992593191
"1032115",-9.27500031454429,58.4249990091751
"381900",29.9750010165461,73.9249987463118
"987857",-17.175000582458,59.4749989913682
"597426.1",-8.72500029589207,68.7749988336502
"1734346",32.2750010945463,41.724999292389
"1239904",-14.8250005027622,53.4749990931217
"601615",-9.27500031454429,68.6749988353461
"954419",-9.07500030776166,60.274998977801
"960800",-5.02500017041348,60.1249989803449
"943940",-8.02500027215287,60.5249989735613
"1023727",-8.67500029419641,58.6249990057833
"863772",-26.4250008961545,62.4249989413394
"964971",-6.47500021958752,60.0249989820408
"1122320",-14.0250004756317,56.2749990456367
"1080409",-9.57500032471822,57.2749990286778
"723311",-14.4750004908926,65.774998884527
"836550",-22.5250007638933,63.0749989303161
"643588",-10.625000360327,67.674998852305
"1317610",-14.5250004925882,51.6249991244957
"1565625",-3.77500012802207,45.7249992245533
"1216848",-12.6250004281533,54.0249990837943
"759115",-9.27500031454429,64.9249988989421
"597425",-8.77500029758772,68.7749988336502
"792337",-28.1750009555024,64.1249989125092
"784247",-12.6750004298489,64.3249989091174
"1439503",-9.87500033489216,48.7249991736766
"1496273",-6.37500021619621,47.3749991965711
"530743",17.1250005807624,70.3749988065159
"601465.1",-16.7750005688928,68.6749988353461
"958659",-7.0750002399354,60.1749989794969
"767509",-9.57500032471822,64.7249989023339
"1725372",3.57500012123944,41.9249992889972
"489297",44.8250015201561,71.374998789557
"601615.1",-9.27500031454429,68.6749988353461
"1466810",-9.52500032302257,48.0749991846999
"811286",-25.7250008724153,63.6749989201407
"1679210",5.47500018567438,43.0249992703424
"102895",44.7250015167648,80.5749986335349
"270276",13.7750004671534,76.5749987013706
"491400",44.975001525243,71.324998790405
"845287",-5.67500019245702,62.8749989337079
"1117955",-22.275000755415,56.3749990439408
"599523",-8.87500030097903,68.7249988344982
"1156002",-9.92500033658782,55.4749990592039
"1668408",-9.62500032641388,43.2749992661027
"1754750",2.47500008393499,41.2249993008685
"757032",-8.42500028571813,64.9749988980941
"1080409.1",-9.57500032471822,57.2749990286778
"1536203",-4.87500016532651,46.4249992126821
"1721771",33.5250011369377,42.0249992873013
"1082441",-12.9750004400229,57.2249990295258
"952332",-8.42500028571813,60.3249989769531
"1636919",-9.07500030776166,44.0249992533835
"1208460",-12.0250004078054,54.2249990804025
"1006892",-10.4250003535444,59.0249989989997
"1639109",-4.57500015515257,43.9749992542315
"1611858",-2.1250000720654,44.6249992432082
"1462617",-9.17500031115297,48.174999183004
"1049272",8.57500029080509,58.0249990159586
"597421",-8.97500030437035,68.7749988336502
"1214752",-12.4250004213706,54.0749990829464
"605810",-9.52500032302257,68.574998837042
"763311",-9.47500032132691,64.824998900638
"1650490",39.4750013387208,43.7249992584712
"954427",-8.67500029419641,60.274998977801
"1057195",-15.2750005180231,57.8249990193504
"1288239",-13.0750004434142,52.3249991126245
"1214760",-12.0250004078054,54.0749990829464
"759116",-9.22500031284863,64.9249988989421
"1092936",-13.2250004485011,56.9749990337655
"727523",-13.8750004705447,65.6749988862229
